X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward_numbe,Neighborho,Community,Day_Identi,TowDist
-93.255707000277823,44.997062000411063,1070,01/13/2017 08:50am,Snow Emergency,"649 Summer st ne,Minneapolis,MN",44.997062,-93.255707,3,St. Anthony East,Northeast,3,2
-93.25301400019589,44.996890999719945,1071,01/13/2017 08:58am,Snow Emergency,"691 Summer st ne,Minneapolis,MN",44.996891,-93.253014,3,St. Anthony East,Northeast,3,2
-93.252383999921619,44.996891999766056,1072,01/13/2017 09:15am,Snow Emergency,"705 Summer st ne,Minneapolis,MN",44.996892,-93.252384,3,St. Anthony East,Northeast,3,2
-93.248975000096152,44.997079000295678,1073,01/13/2017 09:24am,Snow Emergency,"843 Summer st ne,Minneapolis,MN",44.997079,-93.248975,3,St. Anthony East,Northeast,3,2
-93.254844000050525,44.991582999555831,1074,01/13/2017 10:29am,Snow Emergency,"215 5th st ne,Minneapolis,MN",44.991583,-93.254844,3,St. Anthony East,Northeast,3,2
-93.250879999812128,44.995887000184958,1075,01/13/2017 11:08am,Snow Emergency,"627 Quincy st ne,Minneapolis,MN",44.995887,-93.25088,3,St. Anthony East,Northeast,3,2
-93.251143000249215,44.995846000092904,1076,01/13/2017 11:19am,Snow Emergency,"625 Quincy st ne,Minneapolis,MN",44.995846,-93.251143,3,St. Anthony East,Northeast,3,2
-93.248885000442385,44.995235999841569,1077,01/13/2017 11:20am,Snow Emergency,"841 Spring st ne,Minneapolis,MN",44.995236,-93.248885,3,St. Anthony East,Northeast,3,2
-93.250399000113703,44.995105000095748,1078,01/13/2017 11:22am,Snow Emergency,"811 Spring st ne,Minneapolis,MN",44.995105,-93.250399,3,St. Anthony East,Northeast,3,2
-93.249578000024655,44.995557000255403,1079,01/13/2017 11:26am,Snow Emergency,"613 Jackson st ne,Minneapolis,MN",44.995557,-93.249578,3,St. Anthony East,Northeast,3,2
-93.257231999557121,44.996107000437746,1080,01/13/2017 11:41am,Snow Emergency,"635 washington st ne,Minneapolis,MN",44.996107,-93.257232,3,St. Anthony East,Northeast,3,2
-93.250311999698965,44.995105000095748,1081,01/13/2017 11:50am,Snow Emergency,"813 Spring st ne,Minneapolis,MN",44.995105,-93.250312,3,St. Anthony East,Northeast,3,2
-93.263601000086055,44.99476000037378,1082,01/11/2017 10:12pm,Snow Emergency,"614 2nd st n,Minneapolis,MN",44.99476,-93.263601,3,St. Anthony West,Northeast,1,2
-93.259369000079232,44.997117000249425,1083,01/12/2017 12:58am,Snow Emergency,"714 5th st n,Minneapolis,MN",44.997117,-93.259369,3,St. Anthony West,Northeast,2,2
-93.263547000293784,44.992640999782402,1084,01/12/2017 01:06am,Snow Emergency,"500 MAIN ST SE,Minneapolis,MN",44.992641,-93.263547,3,St. Anthony West,Northeast,2,2
-93.259628000331929,44.989685000162702,1085,01/12/2017 01:28am,Snow Emergency,"200 2nd st ne,Minneapolis,MN",44.989685,-93.259628,3,St. Anthony West,Northeast,2,2
-93.264013000199782,44.993453000355707,1086,01/12/2017 01:34am,Snow Emergency,"600 MAIN ST NE,Minneapolis,MN",44.993453,-93.264013,3,St. Anthony West,Northeast,2,2
-93.2607069997282,44.98989700004654,1087,01/12/2017 09:11am,Snow Emergency,"102 3rd AVE ne,Minneapolis,MN",44.989897,-93.260707,3,St. Anthony West,Northeast,2,2
-93.260633999959111,44.989919000161755,1088,01/12/2017 09:12am,Snow Emergency,"104 3rd Ave ne,Minneapolis,MN",44.989919,-93.260634,3,St. Anthony West,Northeast,2,2
-93.256763000412093,44.992979000080837,1089,01/12/2017 09:27am,Snow Emergency,"420 4th ave ne,Minneapolis,MN",44.992979,-93.256763,3,St. Anthony West,Northeast,2,2
-93.265189999618769,44.99447799995977,1090,01/12/2017 10:00am,Snow Emergency,"116 7th ave ne,Minneapolis,MN",44.994478,-93.26519,3,St. Anthony West,Northeast,2,2
-93.25938099973331,44.993655999824576,1091,01/12/2017 10:14am,Snow Emergency,"314 5th ave ne,Minneapolis,MN",44.993656,-93.259381,3,St. Anthony West,Northeast,2,2
-93.260638000143558,44.995750000162438,1092,01/12/2017 10:16am,Snow Emergency,"318 7th ave ne,Minneapolis,MN",44.99575,-93.260638,3,St. Anthony West,Northeast,2,2
