FID,X,Y,Call_Taken,Location,Day
1149,-10384495.671328,5615765.239895,2016-02-04T00:00:00.000Z,501 RIDGEWOOD AVE S,Day 3
1150,-10386898.149236,5625161.859846,2016-02-04T00:00:00.000Z,3747 Oliver Ave n,Day 3
1151,-10378166.41179,5619387.571601,2016-02-04T00:00:00.000Z,957 17TH AVE SE,Day 3
1152,-10380593.13591,5623083.330047,2016-02-04T00:00:00.000Z,825 22nd Ave NE,Day 3
1153,-10380110.182097,5618948.170746,2016-02-04T00:00:00.000Z,325 7th ave se,Day 3
1154,-10379493.183225,5613015.932652,2016-02-04T00:00:00.000Z,3133 22nd ave s,Day 3
1155,-10378407.322795,5619852.031141,2016-02-04T00:00:00.000Z,1053 15th ave se,Day 3
1156,-10382928.179407,5615334.751552,2016-02-04T00:00:00.000Z,2221 clinton ave s,Day 3
1157,-10384486.247694,5615068.392943,2016-02-04T00:00:00.000Z,2405 harriet ave s,Day 3
1158,-10380627.362152,5623083.277178,2016-02-04T00:00:00.000Z,807 22nd Ave NE,Day 3
1159,-10381662.879143,5613255.453448,2016-02-04T00:00:00.000Z,3049 10th ave so,Day 3
1160,-10379493.135884,5612994.045071,2016-02-04T00:00:00.000Z,3141 22nd ave s,Day 3
1161,-10386615.191956,5619222.036036,2016-02-04T00:00:00.000Z,705 Morgan Ave. N.,Day 3
1162,-10383969.160528,5616673.011005,2016-02-04T00:00:00.000Z,1363 spruce pl,Day 3
1163,-10384441.05806,5616391.96583,2016-02-04T00:00:00.000Z,401 oak grove st,Day 3
1164,-10377980.848861,5619490.092141,2016-02-04T00:00:00.000Z,979 18th ave se,Day 3
1165,-10386198.928328,5620773.579984,2016-02-04T00:00:00.000Z,1608 16TH AVE SE,Day 3
1166,-10383969.164401,5616669.777184,2016-02-04T00:00:00.000Z,1365 SPRUCE PL,Day 3
1167,-10378330.02495,5619415.783022,2016-02-04T00:00:00.000Z,1513 brook ave se,Day 3
1168,-10378758.745141,5619178.411912,2016-02-04T00:00:00.000Z,817 13th ave se,Day 3
1169,-10379782.183751,5619171.188597,2016-02-04T00:00:00.000Z,525 8th ave SE,Day 3
1170,-10385502.684621,5626536.979276,2016-02-04T00:00:00.000Z,4215 Emerson ave n,Day 3
1171,-10386474.404002,5619504.076637,2016-02-04T00:00:00.000Z,923 Logan Ave N,Day 3
1172,-10380922.887653,5623272.464448,2016-02-04T00:00:00.000Z,687 23rd Ave NE,Day 3
1173,-10384930.767863,5626298.52508,2016-02-04T00:00:00.000Z,4145 aldrich ave n,Day 3
1174,-10386475.861213,5618860.154785,2016-02-04T00:00:00.000Z,533 Logan ave n,Day 3
1175,-10378266.119675,5619705.518088,2016-02-04T00:00:00.000Z,1021 16th ave se,Day 3
1176,-10383046.12071,5615362.138304,2016-02-04T00:00:00.000Z,305 22nd st e,Day 3
1177,-10387752.12729,5625373.163618,2016-02-04T00:00:00.000Z,3819 Upton Ave N,Day 3
1178,-10378736.489275,5618738.917949,2016-02-04T00:00:00.000Z,1429 6th ST SE,Day 3
1179,-10385502.747429,5626560.630687,2016-02-04T00:00:00.000Z,4223 Emerson ave n,Day 3
1180,-10385073.845511,5626499.308884,2016-02-04T00:00:00.000Z,4205 Bryant Ave n,Day 3
1181,0,0,2016-02-04T00:00:00.000Z,205  E 14th st,Day 3
1182,-10380194.63723,5618801.415481,2016-02-04T00:00:00.000Z,229 7th ave se,Day 3
1183,-10380954.528553,5623272.47128,2016-02-04T00:00:00.000Z,685 23rd ave ne,Day 3
1184,-10380955.577435,5613085.757233,2016-02-04T00:00:00.000Z,3107 15 ave so,Day 3
1185,-10386898.928187,5620424.088739,2016-02-04T00:00:00.000Z,2109 14th ave n,Day 3
